Rv#,Product,Gene ,Sub-classification,MT,MT#,#TA,TotalTA/Group
155,pyridine transhydrogenase subunit [alpha]1,pntAA,SMM: Intermediate Metabolism-General,MT0164,164,12,
156,pyridine transhydrogenase subunit [alpha]2,pntAB,SMM: Intermediate Metabolism-General,MT0164,164,12,
157,pyridine transhydrogenase subunit [beta],pntB,SMM: Intermediate Metabolism-General,MT0165,165,14,
317,glycerophosphoryl diester phosphodiesterase,glpQ2,SMM: Intermediate Metabolism-General,MT0332,332,13,
1127,similar to pyruvate; phosphate dikinase,ppdK,SMM: Intermediate Metabolism-General,MT1159,1159,19,
1213,glucose-1-phosphate adenylyltransferase,glgC,SMM: Intermediate Metabolism-General,MT1251,1251,30,
1826,glycine cleavage system H protein,gcvH,SMM: Intermediate Metabolism-General,MT1874,1874,9,
1832,glycine decarboxylase,gcvB,SMM: Intermediate Metabolism-General,MT1880,1880,57,
2211,T protein of glycine cleavage system,gcvT,SMM: Intermediate Metabolism-General,MT2267,2267,18,
2589,4-aminobytyrate aminotransferase,gabT,SMM: Intermediate Metabolism-General,MT2666,2666,22,
3432,glytamate decargoxylase,gadB,SMM: Intermediate Metabolism-General,MT3538,3538,22,
3566,N-hydroxyarylamine o-acetyltransferase,nhoA,SMM: Intermediate Metabolism-General,MT3671,3671,15,
3842,glycerophosphoryl diester phosphodiesterase,glpQ1,SMM: Intermediate Metabolism-General,MT3950,3950,13,256
69,L-serine dehydratase 1,sdaA,SMM: Intermediate Metabolism-Gluconeogenesis,MT0075,75,12,
211,phosphoenolpyruvate carboxykinase,pckA,SMM: Intermediate Metabolism-Gluconeogenesis,MT0221,221,24,36
296,probable arylsulfatase,atsG,SMM: Intermediate Metabolism-of sulphur,MT0310,310,42,
663,probable arylsulfatase,atsD,SMM: Intermediate Metabolism-of sulphur,MT0692,692,46,
711,arylsulfatase,atsA,SMM: Intermediate Metabolism-of sulphur,MT0738,738,44,
814,thiosulfate sulfurtranferase,sseC2,SMM: Intermediate Metabolism-of sulphur,MT0836,836,2,
1285,ATP: sulphurlyase subunit 2,cysD,SMM: Intermediate Metabolism-of sulphur,MT1323,1323,10,
1286,ATP: sulphurlyase subunit 1,cysN,SMM: Intermediate Metabolism-of sulphur,MT1324,1324,34,
2131,homologue of M. leprae cysQ,cysQ,SMM: Intermediate Metabolism-of sulphur,MT2189,2189,9,
2291,thiosulfate sulfurtranferase,sseB,SMM: Intermediate Metabolism-of sulphur,MT2348,2348,16,
3077,probable arylsulfatase,atsF,SMM: Intermediate Metabolism-of sulphur,MT3162,3162,37,
3117,thiosulfate sulfurtransferase,sseA,SMM: Intermediate Metabolism-of sulphur,MT3199,3199,15,
3118,thiosulfate sulfurtranferase,sseC ,SMM: Intermediate Metabolism-of sulphur,MT3200,3200,2,
3248,adenosylhomocysteinase,sahH,SMM: Intermediate Metabolism-of sulphur,MT3346,3346,23,
3283,thiosulfate sulfurtranferase,sseA,SMM: Intermediate Metabolism-of sulphur,MT3382,3382,19,
3299,probable arylsulfatase,atsB,SMM: Intermediate Metabolism-of sulphur,MT3398,3398,48,
3762,probable alkyl sulfatase,,SMM: Intermediate Metabolism-of sulphur,MT3869,3869,32,
3796,probable arylsulfatase,atsH,SMM: Intermediate Metabolism-of sulphur,MT3903,3903,23,402
322,UDP-glucose dehydrogenase/GDP-mannose,udgA,SMM: Intermediate Metabolism-sugar nucleotides,MT0337,337,24,
334,glucose-1-phosphate thymidyltransferase,rmlA,SMM: Intermediate Metabolism-sugar nucleotides,MT0348,348,19,
1511,GDP-mannose 4;6-dehydratase,gmdA,SMM: Intermediate Metabolism-sugar nucleotides,MT1561,1561,20,
1512,nucleotide sugar epimerase,epiA,SMM: Intermediate Metabolism-sugar nucleotides,MT1562,1562,13,
1525,dTDP-rhamnosyl transferase,wbbl2,SMM: Intermediate Metabolism-sugar nucleotides,MT1576,1576,22,
3264,glucose-1-phosphate thymidyltransferase,rmlA2,SMM: Intermediate Metabolism-sugar nucleotides,MT3364,3364,17,
3265,dTDP-rhamnosyl transferase,wbbl2,SMM: Intermediate Metabolism-sugar nucleotides,MT3365,3365,17,
3266,dTDP-4-dehydrorhamnose reductase,rmlD,SMM: Intermediate Metabolism-sugar nucleotides,MT3366,3366,17,
3400,probable [beta]-phosphoglycomutase,,SMM: Intermediate Metabolism-sugar nucleotides,MT3508,3508,14,
3464,dTDP-glucose 4;6-dehydratase,rmlB,SMM: Intermediate Metabolism-sugar nucleotides,MT3570,3570,23,
3465,dTDP-4-dehydrorhamnose-c;5-epimerase,rmlC,SMM: Intermediate Metabolism-sugar nucleotides,MT3571,3571,8,
3468,dTDP-glucose 4;6-dehydratase,rmlB3,SMM: Intermediate Metabolism-sugar nucleotides,MT3574,3574,18,
3634,dTDP-glucose 4;6-dehydratase,rmlB2,SMM: Intermediate Metabolism-sugar nucleotides,MT3736,3736,21,
3784,probable UDP-galactose 4-epimerase,epiB,SMM: Intermediate Metabolism-sugar nucleotides,MT3893,3893,47,280
1876,bacterioferritin,bfrA,SMM: Iron Utilization,MT1925,1925,10,
2895,similar to proteins involved in vibriobactin uptake,viuB,SMM: Iron Utilization,MT2963,2963,15,
3214,weak similarity to many phosphoglycerate mutases,entD,SMM: Iron Utilization,MT3310,3310,13,
3215,probable isochorismate synthase,entC,SMM: Iron Utilization,MT3311,3311,16,
3525,similar to ferripyochelin binding protein,,SMM: Iron Utilization,MT3625,3625,8,
3841,bacterioferritin,bfrB,SMM: Iron Utilization,MT3949,3949,8,70
44,possible monooxygenase,,SMM: Misc oxidoreductases and oxygenases,MT0050,50,20,
63,probable oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT0068,68,23
68,probable oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT0074,74,12
77,probable oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT0083,83,15
82,probable oxidoreductase subunit,,SMM: Misc oxidoreductases and oxygenases,MT0089,89,7
83,probable oxidoreductase subunit,,SMM: Misc oxidoreductases and oxygenases,MT0090,90,23
84,formate hydrogenlyase subunit 4,hycD,SMM: Misc oxidoreductases and oxygenases,MT0091,91,9
85,putative formate hydrogen lyase hycP,hycP,SMM: Misc oxidoreductases and oxygenases,MT0092,92,4
86,probable formate hydrogenlyase subunit,hycQ,SMM: Misc oxidoreductases and oxygenases,MT0093,93,15
87,probable formate hydrogenlyase subunit 5,hycE,SMM: Misc oxidoreductases and oxygenases,MT0095,95,20
132,putative oxidoreductase ,,SMM: Misc oxidoreductases and oxygenases,MT0140,140,15
137,putative peptide methionine sulfoxide,,SMM: Misc oxidoreductases and oxygenases,MT0145,145,11
139,putative oxidoreductase ,,SMM: Misc oxidoreductases and oxygenases,MT0147,147,12
147,aldehyde dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT0155,155,26
148,steriod dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT0156,156,16
149,putative oxidoreductase ,,SMM: Misc oxidoreductases and oxygenases,MT0157,157,21
161,possible oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT0170,170,19
162,alcohol dehydrogenase (Zn),adhE,SMM: Misc oxidoreductases and oxygenases,MT0171,171,16
163,probable dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT0172,172,10
183,probable oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT0192,192,18
218,some similarity with sulphitesulfite oxidases,,SMM: Misc oxidoreductases and oxygenases,MT0228,228,19
223,aldehyde dehydrogenase (possible betB),,SMM: Misc oxidoreductases and oxygenases,MT0233,233,24
245,probable monooxygenase,,SMM: Misc oxidoreductases and oxygenases,MT0259,259,4
247,probable iron-sulphur protein,,SMM: Misc oxidoreductases and oxygenases,MT0261,261,12
248,probable flavoprotein subunit of Rv0247c,,SMM: Misc oxidoreductases and oxygenases,MT0262,262,38
303,similar to NADPH dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT0316,316,12
331,putative dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT0346,346,18
369,putative CO dehydrogenas gene cluster,,SMM: Misc oxidoreductases and oxygenases,MT0384.1,384.1,8
370,putative CO dehydrogenas gene cluster,,SMM: Misc oxidoreductases and oxygenases,MT0385,385,21
373,putative CO dehydrogenas gene cluster,,SMM: Misc oxidoreductases and oxygenases,MT0388,388,38
374,putative CO dehydrogenas gene cluster,,SMM: Misc oxidoreductases and oxygenases,MT0389,389,6
375,putative CO dehydrogenas gene cluster,,SMM: Misc oxidoreductases and oxygenases,MT0390,390,10
385,similar to oxidoreductases,,SMM: Misc oxidoreductases and oxygenases,MT0398,398,21
392,possible dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT0403,403,16
439,probable oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT0455,455,20
449,putative dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT0465,465,23
458,aldehyde dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT0474,474,23
484,oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT0502,502,10
492,gmc-type oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT0511,511,11
547,putative oxidoreductase ,,SMM: Misc oxidoreductases and oxygenases,MT0572,572,10
561,similar to squalane monooxygenase,,SMM: Misc oxidoreductases and oxygenases,MT0587,587,18
565,probable monooxygenase,,SMM: Misc oxidoreductases and oxygenases,MT0591,591,36
575,possible oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT0604,604,14
610,possible monooxygenase,,SMM: Misc oxidoreductases and oxygenases,MT0640,640,11
654,putatuve dioxygenase,,SMM: Misc oxidoreductases and oxygenases,MT0683,683,27
656,similar to beta dioxygenases,,SMM: Misc oxidoreductases and oxygenases,MT0685,685,4
687,putatuve dehydrogenase; SDR family,,SMM: Misc oxidoreductases and oxygenases,MT0715,715,17
688,putatuve oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT0716,716,18
697,gmc-type oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT0724,724,27
728,similar to D-3-phosphoglycerate dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT0753,753,9
761,zinc-containing alcohol dehydrogenase,adhB,SMM: Misc oxidoreductases and oxygenases,MT0786,786,13
765,short-chain alcohol dehydrogenase family,,SMM: Misc oxidoreductases and oxygenases,MT0789,789,11
768,aldehyde dehydrogenases,aldA,SMM: Misc oxidoreductases and oxygenases,MT0792,792,27
769,similar to 7-alpha-hydroxysteroid dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT0793,793,17
770,similar to 3-hydroxyisobutyrate dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT0794,794,10
785,putative dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT0809,809,35
791,possible nonooxygenasemonoxygenase,,SMM: Misc oxidoreductases and oxygenases,MT0817,817,30
843,similar to various dehydrogenases,,SMM: Misc oxidoreductases and oxygenases,MT0865,865,18
846,similar to several L-ascorbate oxidases,,SMM: Misc oxidoreductases and oxygenases,MT0869,869,31
851,short-chain alcohol dehydrogenase/reductase,,SMM: Misc oxidoreductases and oxygenases,MT0874,874,9
853,pyruvate (or indolpyruvate) decarboxylase,pdc,SMM: Misc oxidoreductases and oxygenases,MT0876,876,26
892,putative monooxygenase,,SMM: Misc oxidoreductases and oxygenases,MT0916,916,43
897,possible oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT0921,921,19
913,probable dioxygenase,,SMM: Misc oxidoreductases and oxygenases,MT0938,938,41
927,short-chain alcohol dehydrogenase family,,SMM: Misc oxidoreductases and oxygenases,MT0954,954,6
940,probable monooxygenase,,SMM: Misc oxidoreductases and oxygenases,MT0967,967,15
943,probable monooxygenase,,SMM: Misc oxidoreductases and oxygenases,MT0969,969,17
945,ketoacyl reductase,,SMM: Misc oxidoreductases and oxygenases,MT0971,971,7
953,similar to alkanal monooxygenase beta chains,,SMM: Misc oxidoreductases and oxygenases,MT0980,980,16
1050,probable oxidoreductseoxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT1080,1080,12
1106,probable cholesterol dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT1137,1137,17
1144,short-chain alcohol dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT1177,1177,11
1188,probable dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT1225,1225,21
1245,putative dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT1283,1283,14
1257,similar to many dehydrogenases,,SMM: Misc oxidoreductases and oxygenases,MT1296,1296,16
1260,probable oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT1298,1298,28
1279,probable choline dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT1316,1316,30
1391,flavoprotein ,dfp,SMM: Misc oxidoreductases and oxygenases,MT1436,1436,20
1393,FAD-containing monooxygenase,,SMM: Misc oxidoreductases and oxygenases,MT1438,1438,27
1432,putative dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT1476,1476,16
1454,probable quinone oxidoreductase,qor,SMM: Misc oxidoreductases and oxygenases,MT1501,1501,17
1530,alcohol dehydrogenase (Zn),adh,SMM: Misc oxidoreductases and oxygenases,MT1581,1581,25
1533,probable dioxygenase,,SMM: Misc oxidoreductases and oxygenases,MT1584,1584,11
1714,probable oxidoreductase/gluconate 3-dehydogenase,,SMM: Misc oxidoreductases and oxygenases,MT1753.1,1753.1,8
1726,6-hydroxy-d-nicotine oxidase,,SMM: Misc oxidoreductases and oxygenases,MT1767,1767,16
1751,possible hydroxylasehydroxylase,,SMM: Misc oxidoreductases and oxygenases,MT1794,1794,15
1771,oxidoreductase; possible,,SMM: Misc oxidoreductases and oxygenases,MT1821,1821,26
1774,putative oxidoreductase with FAD-binding site ,,SMM: Misc oxidoreductases and oxygenases,MT1824,1824,30
1786,probable ferredoxin,,SMM: Misc oxidoreductases and oxygenases,MT1835,1835,1
1812,probable dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT1860,1860,22
1817,flavoprotein ,,SMM: Misc oxidoreductases and oxygenases,MT1865,1865,26
1855,probable monooxygenase,,SMM: Misc oxidoreductases and oxygenases,MT1903,1903,14
1856,short-chain dehydrogenase/reductase family,,SMM: Misc oxidoreductases and oxygenases,MT1904,1904,5
1862,alcohol dehydrogenase (Zn),adhA,SMM: Misc oxidoreductases and oxygenases,MT1911,1911,15
1865,short-chain alcohol dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT1914,1914,13
1869,probable reductase (like rhodocoxin reductase),,SMM: Misc oxidoreductases and oxygenases,MT1918,1918,25
1882,probable dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT1931,1931,15
1894,some simillarity to dioxygenases,,SMM: Misc oxidoreductases and oxygenases,MT1944,1944,14
1895,similar to sorbitol and alcohol dehydrogenases,,SMM: Misc oxidoreductases and oxygenases,MT1946,1946,18
1928,short-chain alcohol dehydrogenase family,,SMM: Misc oxidoreductases and oxygenases,MT1980,1980,18
1936,similr to alkanal monooxygenase alpha chain,,SMM: Misc oxidoreductases and oxygenases,MT1986,1986,17
1937,similar to ring-hydroxylating dioxygenases,,SMM: Misc oxidoreductases and oxygenases,MT1987,1987,48
1939,similar to nitrilotriacetate monooxygenase component,,SMM: Misc oxidoreductases and oxygenases,MT1989,1989,5
1941,short-chain alcohol dehydrogenase family,,SMM: Misc oxidoreductases and oxygenases,MT1991,1991,4
2073,probable oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT2133,2133,10
2129,putative oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT2187,2187,15
2161,similar to alkanal monooxygenase beta chain,,SMM: Misc oxidoreductases and oxygenases,MT2219,2219,8
2259,putative alcohol dehydrogenase (Zn dependent),adhE2,SMM: Misc oxidoreductases and oxygenases,MT2320,2320,14
2263,possible oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT2323,2323,13
2280,similar to D-lactate dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT2338,2338,18
2332,probable malate oxidoreductase,mez,SMM: Misc oxidoreductases and oxygenases,MT2394,2394,28
2454,oxidoreductase; beta subunit,,SMM: Misc oxidoreductases and oxygenases,MT2529,2529,14
2455,probable oxidoreductase alpha subunit,,SMM: Misc oxidoreductases and oxygenases,MT2530,2530,37
2499,putatuve aldehyde dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT2574,2574,6
2509,putative oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT2584,2584,11
2713,probable dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT2786,2786,23
2750,putative dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT2820,2820,12
2776,probable oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT2846,2846,19
2781,probable oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT2851,2851,19
2857,putative dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT2925,2925,12
2858,aldehyde dehydrogenase phenylacetaldehyde,aldC,SMM: Misc oxidoreductases and oxygenases,MT2926,2926,14
2893,similar to alkanal monooxygenase alpha chain,,SMM: Misc oxidoreductases and oxygenases,MT2961,2961,10
2951,putative oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT3025,3025,24
2971,oxidoreductase of Aldo/keto reductase family,,SMM: Misc oxidoreductases and oxygenases,MT3049,3049,15
2997,putatuve dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT3075,3075,16
3045,alcohol dehydrogenase ,adhC,SMM: Misc oxidoreductases and oxygenases,MT3130,3130,20
3049,probable monooxygenase,,SMM: Misc oxidoreductases and oxygenases,MT3134,3134,33
3057,possible ketoacyl reductase,,SMM: Misc oxidoreductases and oxygenases,MT3143,3143,18
3072,similar to alkanal monooxygenase beta chains,,SMM: Misc oxidoreductases and oxygenases,MT3157,3157,9
3079,probable monooxygenase,,SMM: Misc oxidoreductases and oxygenases,MT3164,3164,17
3083,probable monooxygenase,,SMM: Misc oxidoreductases and oxygenases,MT3168,3168,26
3085,short chain alcohol dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT3170,3170,4
3086,zinc-containing alcohol dehydrogenase,adhD,SMM: Misc oxidoreductases and oxygenases,MT3171,3171,11
3107,some similarity to D-lactate dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT3190,3190,22
3138,similar to pyruvate lyase activating protein,pflA,SMM: Misc oxidoreductases and oxygenases,MT3225,3225,21
3161,putative dioxygenase,,SMM: Misc oxidoreductases and oxygenases,MT3250,3250,23
3170,probable flavin-containing monoamine oxidase,,SMM: Misc oxidoreductases and oxygenases,MT3259,3259,18
3174,putative oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT3263,3263,13
3224,putative oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT3321,3321,16
3230,similar to various oxygenases,,SMM: Misc oxidoreductases and oxygenases,MT3327,3327,15
3252,possible alkane-1-monooxygenase,,SMM: Misc oxidoreductases and oxygenases,MT3350,3350,30
3254,slight similarity to squalane,,SMM: Misc oxidoreductases and oxygenases,MT3352,3352,21
3293,aldehyde dehydrogenase,aldB,SMM: Misc oxidoreductases and oxygenases,MT3392,3392,16
3352,defective/truncated  oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT3460,3460,15
3359,probable oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT3467,3467,4
3389,putative dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT3496,3496,9
3406,putative dioxygenase,,SMM: Misc oxidoreductases and oxygenases,MT3514,3514,17
3485,short-chain alcohol dehydrogenase family,,SMM: Misc oxidoreductases and oxygenases,MT3589,3589,10
3502,putative dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT3606,3606,14
3526,putative phthalate oxygenase,,SMM: Misc oxidoreductases and oxygenases,MT3626,3626,23
3535,acetaldehyde dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT3639,3639,12
3537,3-oxosteroid 1-dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT3641,3641,38
3548,short-chain alcohol dehydrogenase family,,SMM: Misc oxidoreductases and oxygenases,MT3652,3652,8
3549,short-chain alcohol dehydrogenase family,,SMM: Misc oxidoreductases and oxygenases,MT3653,3653,11
3553,similar to dioxygenase,,SMM: Misc oxidoreductases and oxygenases,MT3657,3657,10
3559,short-chain alcohol dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT3664,3664,8
3568,putative dioxygenase,,SMM: Misc oxidoreductases and oxygenases,MT3673,3673,15
3570,putative oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT3675,3675,18
3571,electron transfer component,,SMM: Misc oxidoreductases and oxygenases,MT3676,3676,12
3618,similar to bacterial luciferase alpha chain,,SMM: Misc oxidoreductases and oxygenases,MT3720,3720,22
3673,protein disulphide oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT3774,3774,7
3725,putative oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT3828,3828,13,
3726,putative alcohol dehydrogenase (Zn type),,SMM: Misc oxidoreductases and oxygenases,MT3829,3829,16,
3727,similar to phytoene dehydrogenase precursor,,SMM: Misc oxidoreductases and oxygenases,MT3830,3830,38,
3741,possible monooxygenase-a,,SMM: Misc oxidoreductases and oxygenases,MT3849,3849,9,
3742,possible monooxygenase-b,,SMM: Misc oxidoreductases and oxygenases,MT3850,3850,6,
3777,3-hydrosyacyl-CoA dehydrogenase,,SMM: Misc oxidoreductases and oxygenases,MT3886,3886,13,
3790,putative oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT3898,3898,27,
3791,putative oxidoreductase,,SMM: Misc oxidoreductases and oxygenases,MT3899,3899,12,
3829,probable ketoacyl reductase,,SMM: Misc oxidoreductases and oxygenases,MT3937,3937,32,
3854,probable monooxygenase,,SMM: Misc oxidoreductases and oxygenases,MT3969,3969,30,2968
733,probable adenylate kinase,adk,SMM: Misc. nucleoside/nucleotide reactions,MT0757,757,5,
1712,cytidylate kinase,cmk,SMM: Misc. nucleoside/nucleotide reactions,MT1752,1752,13,
2344,probable deoxyguanosine triphosphate hydrolase,dgt,SMM: Misc. nucleoside/nucleotide reactions,MT2409,2409,27,
2364,GTP-binding protein of Era/ThdF family,bez,SMM: Misc. nucleoside/nucleotide reactions,MT2433,2433,15,
2404,GTP-binding protein LepA,lepA,SMM: Misc. nucleoside/nucleotide reactions,MT2476,2476,30,
2440,Obg GTP-binding protein,obg,SMM: Misc. nucleoside/nucleotide reactions,MT2516,2516,12,
2445,nucleoside diphosphate kinase,ndkA,SMM: Misc. nucleoside/nucleotide reactions,MT2521,2521,4,
2583,(p)ppGpp synthase I,relA,SMM: Misc. nucleoside/nucleotide reactions,MT2660,2660,36,
2727,tRNA [delta](2)-isopentenylpyrophosphate transferase,miaA,SMM: Misc. nucleoside/nucleotide reactions,MT2799,2799,15,157
447,unknown fatty acid methyltransferase,ufaA1,SMM: Modification of fatty & mycolic acids,MT0463,463,29,
469,unknown mycolic acid methyltransferase,umaA1,SMM: Modification of fatty & mycolic acids,MT0485,485,24,
470,unknown mycolic acid methyltransferase,umaA2,SMM: Modification of fatty & mycolic acids,MT0486,486,11,
503,cyclopropane mycolic acid synthase 2,cmaA2,SMM: Modification of fatty & mycolic acids,MT0524,524,22,
642,methoxymycolic acid synthase 4,mmaA4,SMM: Modification of fatty & mycolic acids,MT0670,670,19,
643,methoxymycolic acid synthase 3,mmaA3,SMM: Modification of fatty & mycolic acids,MT0671,671,22,
644,methoxymycolic acid synthase 2,mmaA2,SMM: Modification of fatty & mycolic acids,MT0672,672,13,
645,methoxymycolic acid synthase 1,mmaA1,SMM: Modification of fatty & mycolic acids,MT0673,673,21,
824,acyl-[ACP]-desaturase,desA1,SMM: Modification of fatty & mycolic acids,MT0846,846,19,
1094,acyl-[ACP]-desaturase,desA2,SMM: Modification of fatty & mycolic acids,MT1126,1126,12,
3229,acyl-[ACP]-desaturase,desA3,SMM: Modification of fatty & mycolic acids,MT3326,3326,24,
3391,fatty acyl-CoA reductase,acrA1,SMM: Modification of fatty & mycolic acids,MT3498,3498,35,
3392,cyclopropane mycolic acid synthase 1,cmaA1,SMM: Modification of fatty & mycolic acids,MT3499,3499,13,
3538,unknown fatty acid methyltransferase,ufaA2,SMM: Modification of fatty & mycolic acids,MT3642,3642,13,277
2601,spermidine synthase,speE,SMM: Polyamine synthesis,MT2675,2675,25,25
101,unknown non-ribosomal peptide synthesis,nrp,SMM: Polyketide and non-ribosomal peptide synthesis,MT0110,110,122,
405,polyketide synthase,pks6,SMM: Polyketide and non-ribosomal peptide synthesis,MT0418,418,123,
1013,polyketide synthase,pks16,SMM: Polyketide and non-ribosomal peptide synthesis,MT1041,1041,21,
1153,PKS o-methyltransferase,omt,SMM: Polyketide and non-ribosomal peptide synthesis,MT1187,1187,19,
1180,polyketide synthase,pks3,SMM: Polyketide and non-ribosomal peptide synthesis,MT1218,1218,98,
1181,polyketide synthase,pks4,SMM: Polyketide and non-ribosomal peptide synthesis,MT1218,1218,98,
1182,PKS-associated protein; unknown function,papA3,SMM: Polyketide and non-ribosomal peptide synthesis,MT1219,1219,40,
1342,polyketide synthase (chalcone synthase-like),pks14,SMM: Polyketide and non-ribosomal peptide synthesis,MT1383,1383,5,
1372,polyketide synthase,pks18,SMM: Polyketide and non-ribosomal peptide synthesis,MT1417,1417,18,
1527,polyketide synthase,pks5,SMM: Polyketide and non-ribosomal peptide synthesis,MT1578,1578,98,
1528,PKS-associated protein; unknown function,papA4,SMM: Polyketide and non-ribosomal peptide synthesis,MT1579,1579,7,
1544,probable ketoacyl reductase,,SMM: Polyketide and non-ribosomal peptide synthesis,MT1596,1596,11,
1660,polyketide synthase (chalcone synthase-like),pks10,SMM: Polyketide and non-ribosomal peptide synthesis,MT1698,1698,11,
1661,polyketide synthase,pks7,SMM: Polyketide and non-ribosomal peptide synthesis,MT1701,1701,81,
1662,polyketide synthase,pks8,SMM: Polyketide and non-ribosomal peptide synthesis,MT1702,1702,67
1663,polyketide synthase,pks17,SMM: Polyketide and non-ribosomal peptide synthesis,MT1703,1703,18
1664,polyketide synthase,pks9,SMM: Polyketide and non-ribosomal peptide synthesis,MT1704,1704,47
1665,polyketide synthase (chalcone synthase-like),pks11,SMM: Polyketide and non-ribosomal peptide synthesis,MT1705,1705,13
2048,polyketide synthase (erythronolide synthase-like),pks12,SMM: Polyketide and non-ribosomal peptide synthesis,MT2108,2108,149
2377,mycobactin/exochelin synthesis,mbtH,SMM: Polyketide and non-ribosomal peptide synthesis,MT2445.1,2445.1,2
2378,mycobactin/exochelin synthesis (lysine hydroxylase),mbtG,SMM: Polyketide and non-ribosomal peptide synthesis,MT2446,2446,9
2379,mycobactin/exochelin synthesis (lysine ligation),mbtF,SMM: Polyketide and non-ribosomal peptide synthesis,MT2447,2447,64
2380,mycobactin/exochelin synthesis (lysine ligation),mbtE,SMM: Polyketide and non-ribosomal peptide synthesis,MT2448,2448,82
2381,mycobactin/exochelin synthesis (polyketide ..),mbtD,SMM: Polyketide and non-ribosomal peptide synthesis,MT2449,2449,43
2382,mycobactin/exochelin synthesis,mbtC,SMM: Polyketide and non-ribosomal peptide synthesis,MT2450,2450,17
2383,mycobactin/exochelin synthesis (Ser/Thr..),mbtB,SMM: Polyketide and non-ribosomal peptide synthesis,MT2451,2451,50
2384,mycobactin/exochelin synthesis (salicylate-AMP..),mbtA,SMM: Polyketide and non-ribosomal peptide synthesis,MT2452,2452,21
2928,thioesterase,tesA,SMM: Polyketide and non-ribosomal peptide synthesis,MT2998,2998,26
2931,phenolpthiocerol synthesis (pksB),ppsA,SMM: Polyketide and non-ribosomal peptide synthesis,MT3000,3000,81
